Num;Nom de votre structure;Nature de votre structure;Adresse e-mail de votre structure;Numéro de téléphone de votre structure;Site internet de votre structure;Numéro de rue;Nom de rue;Code postal;Ville;Accompagnez-vous des publics spécifiques?;Quel type d'accompagnement ?;Quels sont les horaires;Quelles sont les conditions d'accès à vos services ? (adhésion préalable, prise de rdv,...);Quels sont les tarifs appliqués ?;Quel(s) service(s) proposez-vous?;Quel type d'équipement est en accès libre ?;Dans quel(s) domaine(s) proposez-vous une assistance ?;Quelles actions de formation et/ou d'accompagnement proposez-vous ?;Précision et complément d'information sur vos actions de formation et/ou d'accompagnement ?;;Présentation sommaire de votre structure (max 200 caractères);Présentation globale de l'implication de votre structure en matière d'inclusion numérique (max 200 caractères)
92;Mairie de LAUZUN;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie@ville-lauzun.fr;553941021;www.ville-lauzun.fr;2;rue Marcel Hervé;47410;LAUZUN;Tout public;Individuel;Lundi de 14h à 17h, mardi et mercredi de 9h à 12h et de 14h à 17h et jeudi, vendredi , samedi de 9h à 12h.;Aucunes;gratuit sauf photocopies (recto 0.20 €);Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...), Loisir (Culture, sport, vie associative...);;;J’accepte les présentes Conditions Générales d'utilisation.;Collectivité territoriale - commune de 750 habitants;
93;Centre Communal d'Action Sociale d'AIGUILLON;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);alain.baptiste@ville-aiguillon.fr;553798207;www.ville-aiguillon.eu;1;Cours Alsace Lorraine;47190;AIGUILLON;Tout public;Individuel, Collectif;du lundi au vendredi 9h 12h et 14h 17h;Sur rendez-vous le matin  pour des situations particulières;gratuit;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;Etablissement public chargé de l'action sociale de la ville d'Aiguillon;Point relais CAF
94;CMS Agen Montanou -Permanence délocalisée;Centre Médico-Social;accueil.CMSMontanou@lotetgaronne.fr;553770920;http://www.lotetgaronne.fr;mairie de Foulayronnes ;le Caoulet ;47510;Foulayronnes ;Tout public;Individuel;accueil du public au CMS du lundi au vendredi de 8 h 30 à 12 h et de 13 h 30 à 17 h ;sur RDV;gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
95;CMS Agen-Montanou-Permanence délocalisée;Centre Médico-Social;Accueil.CMSMontanou@lotetgaronne.fr;553770920;http://www.lotetgaronne.fr;mairie de Colayrac St Cirq;rue des écoles;47450;Colayrac St Cirq ;Tout public;Individuel;accueil du public du lundi au vendredi de 8 h 30 à 12 h et de 13 h 30 à 17 h ;sur RDV ;gratuit ;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
96;Bip-Boop Informatique;Tiers-Lieu;bipboop.info@gmail.com;632238051;www.bip-boop.fr;;Place de la Halle;47320;Clairac;Tout public;Individuel, Collectif;Lundi de 14h00 à 18h30;Prise de rendez-vous obligatoire.;Environ 10€/H suivant le contenu de la formation;Accès libre au matériel informatique, Diagnostic des besoins numériques, Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Imprimante, Scanner, Accés à internet, Connexion WIFI;;Découverte des compétences numériques de base;;J’accepte les présentes Conditions Générales d'utilisation.;Bip-Boop Informatique est partenaire du Tiers-lieu La Halle de Clairac concernant le numérique. En échange d'entretien du parc informatique, Bip-Boop dispose des locaux pour ses formations numériques.;Bip-Boop informatique à pour objectif de dispenser des formations utiles et pratique à bas prix.
97;Commune de Prayssas;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie.prayssas@wanadoo.fr;553950015;www.prayssas.fr;20;Place de l'Hôtel de Ville;47360;PRAYSSAS;Tout public;Individuel;du mardi au vendredi 9h-12h 16h-18h        lundi et samedi 9h-12h;Prise de rendez-vous;Gratuit;Assistance ponctuelle / coup de pouce (faire avec l'usager);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Fiscalité (Impôts...);;;J’accepte les présentes Conditions Générales d'utilisation.;;Aide pour toutes démarches administratives : pièces d'identité, permis de conduire, carte grise... Point numérique CAF : assistance pour démarche en ligne
98;CMS Agen Montanou -permanence délocalisée;Centre Médico-Social;Accueil.CMSMontanou@lotetgaronne.fr;553770920;http://www.lotetgaronne.fr;mairie de Prayssas ;place Hôtel de Ville;47360;Prayssas ;Tout public;Individuel;accueil du public au CMS du lundi au vendredi de 8 h 30 à 12 h et de 13 h 30 à 17 h ;sur RDV ;gratuit ;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
99;Médiathèque Municipale;Bibliothèque / Médiathèque;bibliotheque@mairie-tonneins.fr;553845758;https://mediatheque.mairie-tonneins.fr/;33;Avenue François Mitterrand;47400;TONNEINS;Tout public;Nous mettons le matériel à disposition mais nous ne faisons pas d'accompagnement spécifique.;Mardi 16h30 - 18h00, Mercredi 10h00 - 12h00 et 13h30 - 18h00, Vendredi 10h00 - 12h00, Samedi 9h00 - 13h00;Consultation gratuite d'internet sur les postes fixes de la Médiathèque aux horaires d'ouverture, accès gratuit au Wifi pour les appareils personnels aux horaires du Centre Culturel (8h30 - 12h00 et 13h30 - 18h00).;"Accès internet gratuit
Impression noir et blanc 0.35€
Impressions couleurs 0.50€";Accès libre au matériel informatique;Ordinateur (fixe ou portable), Tablette, Imprimante, Scanner, Accés à internet, Connexion WIFI;;;;J’accepte les présentes Conditions Générales d'utilisation.;Médiathèque de lecture publique située dans un Centre Culturel;
100;MAIRIE DE MIRAMONT DE GUYENNE;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);MAIRIE@MIRAMONTDEGUYENNE.FR;553932052;http://www.ville-miramontdeguyenne.fr/;;PLACE DE L HOTEL DE VILLE;47800;MIRAMONT DE GUYENNE;Tout public;Individuel, Collectif;DU LUNDI AU VENDREDI DE 8H30 A12H ET DE 13H30 A 15H30;PRISE DE RDV;GRATUIT DANS UN PREMIER TEMPS;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Retraite (Allocations retraite...), Loisir (Culture, sport, vie associative...);CE SONT LES ASSOCIATIONS DE LA COMMUNE QUI ACCOMPAGNENT LE PUBLIC EN DIFFICULTE;LORSQUE NOUS SOMMES LIMITES EN MOYEN HUMAIN OU MATERIEL LES PERSONNES SONT ORIENTES VERS UNE ASSOCIATIONS QUI OEUVRE EN MATIERE D INCLUSION NUMERIQUE ET QUI PREND LE RELAIS;J’accepte les présentes Conditions Générales d'utilisation.;LA COMMUNE DE MIRAMONT DISPOSE DE PLUSIEURS ASSOCIATIONS QUI OEUVRENT EN MATIERE D'INCLUSION NUMERIQUE. IL Y A AUSSI UN CCAS QUI VIENT EN AIDE AUX PLUS PERSONNES EN DIFFUCULTE.;ASSOCIATION AIM 47 - CYBER CAFE- BUS DU NUMERIQUE- PROCHAINEMENT WIFI 4EU INSTALLATION PREVUE POUR LE PREMIER TRIMESTRE 2020.
101;CILIOPÉE HABITAT;Organisme HLM;contact@ciliopee.com;553775060;ciliopee.com;12B;rue Diderot;47000;AGEN;locataires ou futurs locataires;Individuel;Accueil du Lundi au vendredi de 8h30 à 13h (sauf le mercredi 12h). Accueil sur RDV l'après-midi.;Accueil le matin et accueil sur RDV l'après-midi. Standard téléphonique toute la journée.;Aucun;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
102;Association L'ESCALE;Association;lescale47@wanadoo.fr;553718742;;;Place Léo Lagrange;47500;FUMEL;Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes de nationalité étrangère;Individuel, Collectif;lundi-mardi-jeudi-vendredi : 9h/12h - 14h/17h;Libre accès - aucune condition;tout est gratuit;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Accés à internet, Connexion WIFI;Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Fiscalité (Impôts...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);concernent les personnes ayant un accompagnement/suivi avec notre structure;J’accepte les présentes Conditions Générales d'utilisation.;Association d'Insertion Sociale et professionnelle - Aide à la recherche d'emploi - actions sociales (santé-logement) - ateliers de remobilisation - lieu d'accueil et d'écoute.;Aide individuelle dans les démarches sur l'ordinateur - Atelier inclusion numérique avec Pôle Emploi - Ate  lier petit groupe (2 pers) pour apprendre à maitriser l'outil informatique
103;Mutualité Française de Lot et Garonne;Résidence autonomie mutualiste;cecile.abadie@mutualite47.fr;553988080;;70;avenue d'italie;47000;AGEN;Plus de 60 ans;Individuel;lundi au samedi, de 9h à 12h et de 14h à 17h;RDV;A l'étude;Accès libre au matériel informatique;Ordinateur (fixe ou portable), Imprimante;;;;J’accepte les présentes Conditions Générales d'utilisation.;La Mutualité Française de Lot et Garonne gère une vingtaine de services de soins sur tout le département, elle est un acteur de santé de proximité (santé dentaire, visuelle, auditive, soins infirmiers, résidence autonomie);: accompagner les publics en difficulté, elle propose d'accéder aux équipements informatiques de la Résidence Autonomie au Passage d'Agen, qui organise des ateliers pour les séniors
104;AGENCE POSTALE COMMUNALE LE MAS D'AGENAIS;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairiedumasdagenais@collectivite47.fr;553895037;www.lemasdagenais.fr;9;PLACE DES RELIGIEUSES;47430;LE MAS D'AGENAIS;Tout public;Individuel;Mardi, Mercredi, Vendredi, Samedi 9h00 à 12h00 et jeudi 14h00 à 17h00;Libre service;0.20 centimes par impression de feuille à l'imprimante;Accès libre au matériel informatique;Ordinateur (fixe ou portable), Tablette, Imprimante, Scanner, Accés à internet;;;;J’accepte les présentes Conditions Générales d'utilisation.;;Un accès libre à un matériel informatique dans les locaux de l'agence postale communale
105;Adpsr cap emploi 47;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);contact@capemploi47.com;553663902;WWW.capemploi.com;8;avenue Lacapelette;47550;boe;Personnes en situation de handicap;Individuel, Collectif;lundi au vendredi 9h à 12h;prise de contact direct ou par partenaire;gratuité;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), prescription;;Emploi (Recherche d'emploi, création d'entreprise...);Insertion professionnelle (CV, emploi store, recherche d'emploi...);Prescription vers les services compétents;J’accepte les présentes Conditions Générales d'utilisation.;accompagnement à l'emploi et maintien dans l'emploi de personnes en situation de handicap;dans le cadre de l'accompagnement personnalisé, émanant de la construction du projet professionnel
106;CILIOPÉE HABUTAT;Bailleur social - logement;contact@ciliopee.com;553775060;www.ciliopee.com;12 B;RUE DIDEROT;47000;AGEN;Tout public;Individuel, Collectif;Lundi, mardi, jeudi et vendredi de 8h30 à 13h / Mercredi 8h30 à 12h;Avec ou sans RDV le matin / Avec RDV l’après midi;Logement social;Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable);Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...);;;J’accepte les présentes Conditions Générales d'utilisation.;"

Ciliopée Habitat est entreprise dédiée au logement abordable depuis 1924. Adossée à Action Logement, elle compte 3900 logements en Nouvelle Aquitaine.

Ciliopée Habitat est engagée auprès de ses habitants et favorise la proximité avec ses 3 agences sur le territoire : à Agen, Villeneuve-sur-Lot et Talence. Son siège social se situe au centre ville d’Agen.

Ciliopée Habitat accueille près de 400 nouvelles familles chaque année.
";
107;Mairie de CASTELLA;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie.castella@orange.fr;553688154;castella47.fr;25;Route d'Agen;47340;CASTELLA;Tout public;Individuel;Lundi 14h-18h, Mercredi 14h-18h, Jeudi 14h-16h;RDV;gratuit;Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Scanner, Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;;
108;Mairie de Moirax;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairiedemoirax@wanadoo.fr;33553870369;;11;voie de César;47310;Moirax;Tout public;Individuel;"lundi et vendredi : 9h30-12h30 14h-19h
mardi, mercredi jeudi : 9h30-12h30 et 17h-19h";aucune;0;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...);;;J’accepte les présentes Conditions Générales d'utilisation.;;
109;Médiathèque de Meilhan-sur-Garonne;Bibliothèque / Médiathèque;biblio.meilhan.47@orange.fr;553890028;https://www.meilhansurgaronne.fr/index.php/la-mediatheque;9;Allée Gabourin;47180;MEILHAN SUR GARONNE;Tout public;Individuel;"Mardi de 17h à 18h30
Mercredi de 10h à 12h et de 14h à 18h
Jeudi de 17h à 18h30
Vendredi de 9h à 11h et de 14h à 18h
Samedi de 14h à 18h";Carte d'adhésion à demander;Adhésion gratuite;Accès libre au matériel informatique;Ordinateur (fixe ou portable), Accés à internet;;;;J’accepte les présentes Conditions Générales d'utilisation.;"La médiathèque municipale de Meilhan est ouverte du mardi au samedi inclus. L'inscription est gratuite pour tous. Elle propose un peu plus de 3.000 ouvrages et deux cents CD 
Les adhérents peuvent accéder légalement à des ressources numériques sur tablette.";Des ordinateurs avec libre accès à internet sont également mis à la disposition du public.
110;Mairie de Monbalen;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie.monbalen@collectivite47.fr;553957201;NEANT;;Place de la Libération;47340;MONBALEN;Tout public;Individuel;Lundi de 8h30 à 12h30 / Mardi de 14h00 à 19h00 / Mercredi de 8h30 à 12h00 puis de 14h00 à 17h00 / Vendredi de 9h00 à 13h00;Prise de rdv pour un accompagnement plus poussé sinon libre accès au point numérique;Pas de tarif appliqué pour l'accès mais tarification des photocopies;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Imprimante;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...);;;J’accepte les présentes Conditions Générales d'utilisation.;Mairie ;Point d'accès au numérique dans les locaux
111;mairie;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie-houeilles@wanadoo.fr;553891030;www.houeilles.fr;40;avenue Adrien Lamothe;47420;HOUEILLES;Tout public;Individuel;"lundi mardi jeudi vendredi 9h - 12h - 14h - 16h30 ; mercredi 9h - 12h; samedi 10h - 12h";pas de rendez-vous;pas de tarifs;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;Mairie;
112;Campus Numérique 47;Association;contact@campusnumerique47.fr;553674814;www.campusnumerique47.fr;156;Avenue Jean Jaurès ;47000;Agen;Tout public;Individuel, Collectif;Du lundi au vendredi de 8h30 à 18h00;pas de condition d’accès préalable;Les tarifs pourront varier en fonction des ateliers et animations.;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);;Social (Allocations familiales, RSA...), Emploi (Recherche d'emploi, création d'entreprise...), Fiscalité (Impôts...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;;
113;Pôle Ressources;Association;pole.ressources.feugarolles@gmx.fr;673731097;;;Au Bourg;47230;Feugarolles;Plus de 60 ans;Individuel, Collectif;Atelier informatique le mercredi après-midi;Être résident de Feugarolles, Aiguillon, Damazan, Port Sainte Marie ou les communes environnantes. RDV préalable avec la coordinatrice.;GRATUIT;Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Tablette;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;Pôle Ressources pour les séniors (+60ans) du territoire de Feugarolles, Aiguillon, Port Sainte Marie et Damazan. Ateliers et transports gratuits (adaptés aux PMR) pour favoriser l'échange la sociabilisation et l'autonomie des personnes.;Ateliers gratuits d'initiation à l'informatique pour les séniors. Aide à l'autonomie numérique.
114;Médiathèque de Sainte-Livrade-sur-Lot;Bibliothèque / Médiathèque;mediatheque@ville-ste-livrade47.fr;05.53.01.26.74;http://mediatheque-ste-livrade47.opac3d.fr;;Halle centrale;47110;Sainte Livrade sur Lot;Tout public;Individuel, Collectif;"Lundi : 14h-17h30
Mardi : 9h-12h30 ; 16h-18h
Mercredi : 10h-18h
Vendredi : 9h-12h ; 15h30-17h30
Samedi : 9h-12h";"Accès libre et gratuit
Tarifs : 
L'abonnement à la médiathèque est gratuit pour : 
Les habitants de la commune de Sainte-Livrade-sur-Lot
Les mineurs
Les étudiants (sur justificatif)
Les demandeurs d’emplois (sur justificatif)

Autres : 9€/année

La consultation internet est gratuite mais limitée à une heure /jour et /personne. (Création de compte à l'accueil)";"Accès libre et gratuit
Consultation internet gratuite
Impression en noir et blanc : 0.20 € la feuille";Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Utilisation de l'imprimante : les impressions sont payantes (0.20 € la feuille);Selon le besoin;;;J’accepte les présentes Conditions Générales d'utilisation.;;
115;MAIRIE;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);commune.villebramar@wanadoo.fr;553888580;;34;PLACE HENRI IV;47380;VILLEBRAMAR;Tout public;Collectif;MARDI & JEUDI APRES-MIDI (14:00/18:00);TELEPHONE ;AUCUN TARIF;Assistance ponctuelle / coup de pouce (faire avec l'usager);;;;;J’accepte les présentes Conditions Générales d'utilisation.;MAIRIE;
116;Centre Médico-Social Agen-Tapie;Centre Médico-Social;accueil.cmstapie@lotetgaronne.fr;553986230;www.lotetgaronne.fr;265;Louis LAVELLE;47000;Agen;Tout public;Individuel;Du lundi au vendredi 8h30 - 12h00 et 13h30 17h00;Sur Rendez-Vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
117;Centre-Médico-Social Agen-Tapie;Centre Médico-Social;accueil.cmstapie@lotetgaronne.fr;553986230;www.lotetgaronne.fr;;République;47240;BON ENCONTRE;Tout public;Individuel;1er et 3ème jeudi matin 9h - 11h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
118;Centre Médico-Social Agen -Tapie;Centre Médico-Social;accueil.cmstapie@lotetgaronne.fr;553986230;www.lotegaronne.fr;13 bis;des Ormes;47550;BOE;Tout public;Individuel;2ème et 4ème mardi 14h - 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
119;Centre-Médico-Social Agen -Tapie;Centre Médico-Social;accueil.cmstapie@lotetgaronne.fr;553986230;www.lotetgaronne.fr;1;Place de l'Hotel de Ville;47220;ASTAFFORT;Tout public;Individuel;1er et 3ème mardi 9h - 12h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
120;Centre-Médico-Social Agen -Tapie;Centre Médico-Social;accueil.cmstapie@lotetgaronne.fr;553986230;www.lotetgaronne.fr;18;Place Jean Jaurès;47390;LAYRAC;Tout public;Individuel;2ème mardi 14h - 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
121;Centre-Médico-Social Agen -Tapie;Centre Médico-Social;accueil.cmstapie@lotetgaronne.fr;553986230;www. lotetgaronne.fr;13;Avenue Jean Monnet;47240;CASTELCULIER;Tout public;Individuel;Pas de jour fixe RDV à la demande;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
122;COMMUNE DE SAINT-ETIENNE DE VILLEREAL;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie.stetienneval@wanadoo.fr;553360290;néant;;11 place de la mairie;47210;SAINT-ETIENNE DE VILLEREAL;Tout public;Individuel;Lundi 14 h/17 h  Mercredi et Jeudi  09h/12h;prise de rendez-vous;néant;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);Scanner, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);;néant;J’accepte les présentes Conditions Générales d'utilisation.;MAIRIE  -  SECRETARIAT -;néant
123;association Vivre Mieux Ensemble;Association;accueil@vivremieuxensemble.9pass.net;553482260;FB : Centresocial Vivre Mieux Ensemble ;1;place matteo bandello;47130;Port Sainte Marie;Tout public;Individuel, Collectif;lundi, mardi, jeudi 9h-12h 14h-18h le vendredi 14h17h. accueil fermé le mercredi.;rdv auprès de l'agent d'accueil;gratuit pour un accompagnement. ;Accès libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Scanner, Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Emploi (Recherche d'emploi, création d'entreprise...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;appeler l'accueil du centre pour tout renseignement;J’accepte les présentes Conditions Générales d'utilisation.;l'association vivre Mieux Ensemble gère le centre social et propose des permanences, accompagnements, animations pour tous. Accueil de loisirs 3_11 ans ,12-17 ans  adolescents, projets communs. Cours de français en groupe par niveau. ;Lze secteur famille propose des ateliers informatiques le jeudi matin. Un accompagnement sur rendez-vous par l'agent d'accueil à la dématérialisation. ateliers coup de pouce connexion avec la MSA.
124;UNA LOT-ET-GARONNE;Association;accueil@una47.fr;05.53.47.69.59;www.una47.fr;82;rue Lafayette;47000;AGEN;Tout public, Plus de 60 ans;Individuel, Collectif;Du lundi au vendredi 9h-12h et 14h-17h;aucune;"50 euros pour le pack initiation (12 séances)  plus de 60 ans 
50 euros pour le pack perfectionnement (12 séances) plus de 60 ans 
40 euros pour le pack smartphone (8 séances) plus de 60 ans 
aide individuelle à domicile 28 euros/heure tout public";Accompagnement dans des démarches spécifiques (apprendre à faire), utilisation globale de l'outil informatique ;;;Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux, accès aux sites administratifs de référence, utilisation des différents logiciels bureautiques, navigation internet...;;J’accepte les présentes Conditions Générales d'utilisation.;Fédération départementale regroupant 32 associations d’aide, d’accompagnement et de soins à domicile. Elle fédère 200 bénévoles, 900 salariés et 8000 usagers. ;Nous proposons des ateliers collectifs sur tout le département à destination des seniors (+de 60 ans). 3 packs sont proposés (initiation, perfectionnement et smartphone) + cours individuels à domicile
125;PUJOLS   SPORT SENIOR SANTE      P3S;Association;p3s.pujols@gmail.com;668190165;pujols-sport-senior.fr;16;Chemin de lacassagne;47300;PUJOLS;PLUS DE 50 ANS;Collectif;MARDI DE 17H00 A 19H00 SALLE DES NOISETIERS 47300 PUJOLS;ADHESION PREALABLE ;68 € toutes activités Certificat médical obligatoire;Diagnostic des besoins numériques, Accompagnement dans des démarches spécifiques (apprendre à faire);Accés à internet, Connexion WIFI, uniquement en cours;aide ponctuelle, sur demande, sinon formation en groupe;Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux;disposer d'un ordinateur portable;J’accepte les présentes Conditions Générales d'utilisation.;CLUB DE SPORTS ET LOISIRS SENIOR;CLUB affilié Fédération française de retraite sportive : apprendre les seniors a être autonome  :utiliser un mail, traiter les photos, commander sur le web, utiliser les sites administratifs,courrier 
